 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Lakefield Wind Project LLC,Great River Energy,"EDF Renewable Asset Holdings, Inc.","Midcontinent Independent Transmission System Operator, Inc..",43.675,-95.156666,WND,WIND,0.23,205.5
Lakeswind Power Partners,Great River Energy,Lakeswind Power Partners,"Midcontinent Independent Transmission System Operator, Inc..",46.718056,-96.211944,WND,WIND,0.294,51.8
Lakota Ridge LLC,Northern States Power Co - Minnesota,Energy Operations Group LLC (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.39956,-96.428367,WND,WIND,0.298,11.2
Lanesboro,Tri-County Electric Coop,Lanesboro Public Utility Comm,"Midcontinent Independent Transmission System Operator, Inc..",43.720026,-91.977738,WAT,HYDRO,0.01,3.6
Laskin Energy Center,"ALLETE, Inc.","ALLETE, Inc.","Midcontinent Independent Transmission System Operator, Inc..",47.5306,-92.1619,SUB,COAL,0.341,116
Laverne Battery,Xcel Energy Inc,Northern States Power Co - Minnesota,"Midcontinent Independent Transmission System Operator, Inc..",43.638611,-96.39,MWH,OTHF,,1.1
Litchfield,Southern Minnesota Mun P Agny,Litchfield Public Utilities,"Midcontinent Independent Transmission System Operator, Inc..",45.115,-94.5281,DFO,OIL,0.003,15.7
Little Falls (MN),"ALLETE, Inc.","ALLETE, Inc.","Midcontinent Independent Transmission System Operator, Inc..",45.975013,-94.369094,WAT,HYDRO,0.851,4.6
Lucky Wind,Northern States Power Co - Minnesota,Lucky Wind LLC,"Midcontinent Independent Transmission System Operator, Inc..",44.0211,-96.4406,WND,WIND,0.392,1.7
Luverne,City of Luverne - (MN),City of Luverne - (MN),Western Area Power Administration - Upper Great Plains East,43.654444,-96.201944,DFO,OIL,0.001,7.4
Madelia,City of Madelia - (MN),City of Madelia - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.0525,-94.4153,NG,GAS, -   ,11.8
Mankato Energy Center,Northern States Power Co - Minnesota,Calpine Central LP,"Midcontinent Independent Transmission System Operator, Inc..",44.1988,-94.003,NG,GAS,0.055,740
Maple Lake,Great River Energy,Great River Energy,"Midcontinent Independent Transmission System Operator, Inc..",45.229073,-94.009673,DFO,OIL,0.002,25
Marshall (MN),City of Marshall - (MN),City of Marshall - (MN),"Midcontinent Independent Transmission System Operator, Inc..",44.446585,-95.792118,DFO,OIL, -   ,18
Marshall Solar Energy Project,Northern States Power Co - Minnesota,NextEra Energy Resources,"Midcontinent Independent Transmission System Operator, Inc..",44.475314,-95.669011,SUN,SOLAR,,62.3
Marshall Wind 1 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3253,-95.8142,WND,WIND,0.438,2.1
Marshall Wind 2 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3236,-95.8222,WND,WIND,0.424,4.2
Marshall Wind 3 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3211,-95.7942,WND,WIND,0.421,4.2
Marshall Wind 4 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3361,-95.8242,WND,WIND,0.438,4.2
Marshall Wind 5 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3303,-95.8344,WND,WIND,0.466,2.1
Marshall Wind 6 LLC,Lyon-Lincoln Electric Coop Inc,Marshall Wind,Western Area Power Administration - Upper Great Plains East,44.3308,-95.8297,WND,WIND,0.453,2.1
Melrose,Melrose Public Utilities,Melrose Public Utilities,"Midcontinent Independent Transmission System Operator, Inc..",45.675,-94.815277,DFO,OIL,,8.2
Melrose 2,Melrose Public Utilities,Melrose Public Utilities,"Midcontinent Independent Transmission System Operator, Inc..",45.676389,-94.801944,DFO,OIL,,1
MinnDakota Wind LLC,Northern States Power Co - Minnesota,Iberdrola Renewables Inc,"Midcontinent Independent Transmission System Operator, Inc..",44.2667,-96.3444,WND,WIND,0.437,150
