 PNAME , OPRNAME , UTLSRVNM ,BANAME, LAT , LON , PLPRMFL , PLFUELCT , CAPFAC , NAMEPCAP 
Joseph M Farley,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",31.2231,-85.1116,NUC,NUCLEAR,0.932,1776.4
Langdale,Georgia Power Co,Georgia Power Co,"Southern Company Services, Inc. - Trans",32.813836,-85.167786,WAT,HYDRO,,1
Lay Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.9633,-86.5187,WAT,HYDRO,0.362,177
Lewis Smith Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.9406,-87.1077,WAT,HYDRO,0.154,181
Logan Martin Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",33.425878,-86.337547,WAT,HYDRO,0.308,128.1
M C Dixon Lumber,Alabama Power Co,M C Dixon Lumber Co Inc,"Southern Company Services, Inc. - Trans",31.89738,-85.151596,WDS,BIOMASS,,2.5
Martin Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.680394,-85.911442,WAT,HYDRO,0.189,210.6
McIntosh (7063),PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,31.2546,-88.0299,NG,GAS,0.021,676
McWilliams,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,31.400255,-86.476449,NG,GAS,0.557,654
"MeadWestvaco Coated Board, LLC",Alabama Power Co,Mead Coated Board Inc,"Southern Company Services, Inc. - Trans",32.1761,-85.0272,WDS,BIOMASS,0.825,112.5
Millers Ferry,Alabama Power Co,USCE-Mobile District,"Southern Company Services, Inc. - Trans",32.100881,-87.399767,WAT,HYDRO,0.402,101.1
Mitchell Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.806025,-86.444892,WAT,HYDRO,0.313,170
Mobile Energy Services LLC,Alabama Power Co,DTE Energy Services,"Southern Company Services, Inc. - Trans",30.736487,-88.051643,NG,GAS,0.302,109.2
Morgan Energy Center,Tennessee Valley Authority,Morgan Energy Center LLC,Tennessee Valley Authority,34.6397,-87.0639,NG,GAS,0.487,900
Plant H. Allen Franklin,Georgia Power Co,Southern Power Co,"Southern Company Services, Inc. - Trans",32.6078,-85.0975,NG,GAS,0.432,2683.8
Point A,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,PowerSouth Energy Cooperative,31.361146,-86.518307,WAT,HYDRO,0.17,5.2
Resolute FP - Coosa Pines Mill,Alabama Power Co,Bowater Newport Coosa Pines Op,"Southern Company Services, Inc. - Trans",33.328107,-86.356825,BIT,COAL,0.238,55.4
Rock-Tenn Mill,Alabama Power Co,Rock-Tenn Company,"Southern Company Services, Inc. - Trans",32.4541,-87.9759,BLQ,BIOMASS,0.209,84
SABIC Innovative Plastics - Burkville,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.310226,-86.52542,NG,GAS,0.632,97
Sand Valley Power Station,Sand Mountain Electric Coop,Energy Developments Inc,Tennessee Valley Authority,34.343875,-85.866103,LFG,BIOMASS,0.765,4.8
Shell Offshore Yellowhammer,Alabama Power Co,W&T Offshore Inc,"Southern Company Services, Inc. - Trans",30.403538,-88.12833,NG,GAS,0.498,3.4
Sloss Industries Corp,Alabama Power Co,Walter Coke,"Southern Company Services, Inc. - Trans",33.568164,-86.79873,COG,COAL,0.136,25
Tenaska Central Alabama Gen Station,Alabama Power Co,Tenaska Alabama B LP,"Southern Company Services, Inc. - Trans",32.6497,-86.74,NG,GAS,0.551,927.1
Tenaska Lindsay Hill Generating Station,Alabama Power Co,Tenaska Alabama Partners LP,"Southern Company Services, Inc. - Trans",32.6514,-86.7386,NG,GAS,0.369,939.4
Theodore Cogeneration,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",30.525445,-88.128477,NG,GAS,0.549,317.4
Thurlow Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.535436,-85.887614,WAT,HYDRO,0.286,91
US Steel (Fairfield Works),Alabama Power Co,United States Steel Corporation,"Southern Company Services, Inc. - Trans",33.4885,-86.9212,PRG,OTHF,0.26,82
Walter Bouldin Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.583889,-86.283056,WAT,HYDRO,0.299,225
Walton Discover Power Facility,Georgia Transmission Corp,South Eastern Elec Devt Corp,"Southern Company Services, Inc. - Trans",32.54098,-85.038879,NG,GAS,0.004,103
Washington County Cogen (Olin),Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",31.2504,-88.0156,NG,GAS,0.772,122.5
Weiss Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",34.172142,-85.753806,WAT,HYDRO,0.274,87.6
Westervelt Moundville Cogen,Alabama Power Co,The Westervelt Co,"Southern Company Services, Inc. - Trans",32.960714,-87.655419,WDS,BIOMASS,0.412,8.8
Weyerhaeuser Pine Hill Operations,Alabama Power Co,International Paper Co.,"Southern Company Services, Inc. - Trans",31.9698,-87.4806,BLQ,BIOMASS,0.68,77.4
Wheeler Dam,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.8069,-87.3819,WAT,HYDRO,0.352,404
Widows Creek,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.883022,-85.755253,BIT,COAL,0.215,1968.6
Wilson Dam,Tennessee Valley Authority,Tennessee Valley Authority,Tennessee Valley Authority,34.79782,-87.62537,WAT,HYDRO,0.419,666.7
Yates Dam,Alabama Power Co,Alabama Power Co,"Southern Company Services, Inc. - Trans",32.5743,-85.8901,WAT,HYDRO,0.313,50.5
Archer Daniels Midland Little Rock,Entergy Arkansas Inc,Archer Daniels Midland Co,"Midcontinent Independent Transmission System Operator, Inc..",34.7,-92.199722,NG,GAS,,4
Arkansas Nuclear One,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",35.311,-93.2351,NUC,NUCLEAR,0.896,1845
Ashdown,Southwestern Electric Power Co,Domtar Industries Inc,Southwest Power Pool,33.6417,-94.1083,BLQ,BIOMASS,0.525,156.5
Beaver Dam,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,36.421507,-93.847373,WAT,HYDRO,0.129,112
Blakely Mountain,Entergy Arkansas Inc,USCE -Vickburg District,"Midcontinent Independent Transmission System Operator, Inc..",34.570984,-93.194425,WAT,HYDRO,0.256,75
Bull Shoals,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,36.3635,-92.5763,WAT,HYDRO,0.172,340
Carl Bailey,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",35.260102,-91.363426,NG,GAS,0.003,120
Carpenter,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.4425,-93.0262,WAT,HYDRO,0.218,56
Cecil Lynch,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.7535,-92.1987,NG,GAS, -   ,231
City Water & Light - City of Jonesboro,City Water and Light Plant,City Water and Light Plant,Southwestern Power Administration,35.848561,-90.725377,NG,GAS,0.013,224.3
Clearwater Paper APP CB,Entergy Arkansas Inc,Clearwater Paper Corporation,"Midcontinent Independent Transmission System Operator, Inc..",33.7061,-91.2371,BLQ,BIOMASS,0.681,20
Columbia Flooring Melbourne,Entergy Arkansas Inc,Unilin Flooring NC LLC-Columbia Flooring,"Midcontinent Independent Transmission System Operator, Inc..",36.060514,-91.919802,WDS,BIOMASS,0.389,2
"Cross Oil Refining & Marketing, Inc",Entergy Arkansas Inc,"Martin Midstream Partnership,LP","Midcontinent Independent Transmission System Operator, Inc..",33.365,-92.719722,NG,GAS,0.549,3.5
Dam 2,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",33.986501,-91.315788,WAT,HYDRO,0.434,102.6
Dardanelle,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,35.2503,-93.1686,WAT,HYDRO,0.344,160.8
Degray,Entergy Arkansas Inc,USCE -Vickburg District,"Midcontinent Independent Transmission System Operator, Inc..",34.211913,-93.110963,WAT,HYDRO,0.127,68
Dell Power Plant,"Associated Electric Coop, Inc","Associated Electric Coop, Inc","Associated Electric Cooperative, Inc.",35.8619,-90.0253,NG,GAS,0.026,679.1
Elkins Generating Center,Ozarks Electric Coop Corp - (AR),Arkansas Electric Coop Corp,Southwest Power Pool,35.9714,-94.0014,NG,GAS,0.001,66
Ellis Hydro,Southwestern Electric Power Co,Arkansas Electric Coop Corp,Southwest Power Pool,35.351361,-94.294349,WAT,HYDRO,0.461,32.4
Flint Creek Power Plant,Southwestern Electric Power Co,Southwestern Electric Power Co,Southwest Power Pool,36.2561,-94.5241,SUB,COAL,0.744,558
Fourche Creek Wastewater,Entergy Arkansas Inc,Little Rock Wastewater Utility,"Midcontinent Independent Transmission System Operator, Inc..",34.6953,-92.1519,OBG,BIOMASS,0.311,2.8
Fulton,Southwestern Electric Power Co,Arkansas Electric Coop Corp,Southwest Power Pool,33.6094,-93.7924,NG,GAS,0.004,154.8
Genova Arkansas I LLC,,Southwestern Electric Power Co,Southwest Power Pool,36.186111,-94.284166,NG,GAS,,631.4
Georgia-Pacific Crossett,Entergy Arkansas Inc,Georgia-Pacific LLC,"Midcontinent Independent Transmission System Operator, Inc..",33.1421,-91.975,BLQ,BIOMASS,0.616,91.6
Greers Ferry Lake,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,35.5207,-91.9953,WAT,HYDRO,0.178,96
Hamilton Moses,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.9806,-90.8722,NG,GAS,,138
Harry D. Mattison Power Plant,Southwestern Electric Power Co,Southwestern Electric Power Co,Southwest Power Pool,36.1855,-94.2841,NG,GAS,0.009,349
Harvey Couch,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",33.3592,-93.4649,NG,GAS, -   ,182.7
Hot Spring  Energy Facility,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.29759,-92.868344,NG,GAS,0.101,1429.7
Independence,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",35.678442,-91.408761,SUB,COAL,0.697,1800
John W. Turk Jr. Power Plant,Southwestern Electric Power Co,Southwestern Electric Power Co,Southwest Power Pool,33.649722,-93.811944,SUB,COAL,0.829,609
Lake Catherine,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.4341,-92.9049,NG,GAS,0.014,752
Lee Creek Water Treatment Facility,Arkansas Electric Coop Corp,Fort Smith City of,"Midcontinent Independent Transmission System Operator, Inc..",35.484488,-94.392858,WAT,HYDRO, -   ,1.3
Mabelvale,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.635997,-92.409602,NG,GAS,0.001,78
Magnet Cove Generating Station,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",34.4297,-92.8317,NG,GAS,0.02,746
McClellan,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",33.5648,-92.7917,NG,GAS,0.099,136
Municipal Light,Southwestern Power Administration,City of Piggott - (AR),Southwestern Power Administration,36.3858,-90.1867,DFO,OIL,,7.2
Murray,Entergy Arkansas Inc,City of North Little Rock - (AR),"Midcontinent Independent Transmission System Operator, Inc..",34.7956,-92.3569,WAT,HYDRO,0.34,45.4
Narrows (AR),Southwestern Electric Power Co,USCE -Vickburg District,Southwest Power Pool,34.148427,-93.715168,WAT,HYDRO,0.172,25.5
Norfork,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,36.2491,-92.2401,WAT,HYDRO,0.193,80.4
Osceola (AR),Entergy Arkansas Inc,City of Osceola - (AR),"Midcontinent Independent Transmission System Operator, Inc..",35.6975,-90.0053,DFO,OIL,,9.6
Oswald Generating Station,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",34.5923,-92.2166,NG,GAS,0.03,599.5
Ozark,Southwestern Power Administration,USCE-Little Rock District,Southwestern Power Administration,35.4693,-93.8175,WAT,HYDRO,0.048,100
Paragould,Paragould Light & Water Comm,Paragould Light & Water Comm,Southwestern Power Administration,36.060556,-90.521389,DFO,OIL,,4.1
Paragould Reciprocating,Paragould Light & Water Comm,Paragould Light & Water Comm,Southwestern Power Administration,36.0242,-90.5094,NG,GAS,0.003,19.2
Paragould Turbine,Paragould Light & Water Comm,Paragould Light & Water Comm,Southwestern Power Administration,36.024272,-90.509229,NG,GAS, -   ,13.9
Pine Bluff Energy Center,Entergy Arkansas Inc,Pine Bluff Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",34.2181,-91.9025,NG,GAS,0.512,236
Pine Bluff Mill,Entergy Arkansas Inc,Evergreen Packaging Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.221213,-91.907365,BLQ,BIOMASS,0.57,85
Plum Point Energy Station,Entergy Arkansas Inc,NRG Energy Services - Plum Point,"Midcontinent Independent Transmission System Operator, Inc..",35.6644,-89.9489,SUB,COAL,0.575,720
Remmel,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.4272,-92.8941,WAT,HYDRO,0.451,9
Riceland Foods Cogeneration Plant,Entergy Arkansas Inc,Riceland Foods Inc.,"Midcontinent Independent Transmission System Operator, Inc..",34.5136,-91.5331,OBS,BIOMASS,0.196,18
Robert E Ritchie,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.4629,-90.5987,NG,GAS,,923.1
SR Camden,Ouachita Electric Coop Corp,"SR Camden, LLC",Southwestern Power Administration,33.631538,-92.703611,SUN,SOLAR,,12
Thomas Fitzhugh,Southwestern Electric Power Co,Arkansas Electric Coop Corp,Southwest Power Pool,35.462382,-93.804926,NG,GAS,0.016,185
Two Pine Landfill Gas Recovery,Entergy Arkansas Inc,WM Renewable Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",34.8364,-92.1656,LFG,BIOMASS,0.818,4.8
Union Power Station,Entergy Arkansas Inc,Union Power Partners LP,"Midcontinent Independent Transmission System Operator, Inc..",33.296146,-92.589364,NG,GAS,0.294,2428
Warren Lumber Mill,Entergy Arkansas Inc,Potlatch Land and Lumber LLC,"Midcontinent Independent Transmission System Operator, Inc..",33.6206,-92.078889,WDS,BIOMASS, -   ,15
Waste Management Eco Vista LFGTE,Arkansas Electric Coop Corp,WM Renewable Energy LLC,"Midcontinent Independent Transmission System Operator, Inc..",36.1758,-94.2056,LFG,BIOMASS,0.917,4
Whillock,Entergy Arkansas Inc,Arkansas Electric Coop Corp,"Midcontinent Independent Transmission System Operator, Inc..",35.127591,-92.790273,WAT,HYDRO,0.542,32.4
White Bluff,Entergy Arkansas Inc,Entergy Arkansas Inc,"Midcontinent Independent Transmission System Operator, Inc..",34.4228,-92.1406,SUB,COAL,0.668,1800
White River Lock and Dam 1,Southwestern Power Administration,White River Hydroelectric,Southwestern Power Administration,35.757401,-91.636887,WAT,HYDRO,0.481,4.3
White River Lock and Dam 2,Southwestern Power Administration,White River Hydroelectric,Southwestern Power Administration,35.744036,-91.765418,WAT,HYDRO,,3.5
White River Lock and Dam 3,Southwestern Power Administration,White River Hydroelectric,Southwestern Power Administration,35.84361,-91.850521,WAT,HYDRO,0.054,4.3
Actus Lend Lease DMAFB,Tucson Electric Power Co,SolarCity Corporation,Tucson Electric Power Company,32.1825,-110.863333,SUN,SOLAR,0.174,3
Agua Caliente Solar Project,San Diego Gas & Electric Co,Agua Caliente Solar,California Independent System Operator,32.9774,-113.4945,SUN,SOLAR,0.133,637.7
Agua Fria Generating Station,Salt River Project,Salt River Project,Salt River Project,33.5561,-112.2153,NG,GAS,0.002,613.5
Amonix UASTP Solar Power Station,Tucson Electric Power Co,Amonix UASTP Solar Generation 1 LLC,Tucson Electric Power Company,32.108147,-110.824662,SUN,SOLAR,0.115,1.9
Apache Station,Southwest Transmission Coop Inc,Arizona Electric Pwr Coop Inc,Western Area Power Administration - Desert Southwest Region,32.0603,-109.8931,SUB,COAL,0.456,660.7
APS Saguaro Power Plant,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,32.5517,-111.3,NG,GAS,0.003,435.5
APS West Phoenix Power Plant,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,33.4417,-112.1583,NG,GAS,0.138,1326.9
Arizona State University CHP,Arizona Public Service Co,NRG Energy Center Phoenix LLC,Arizona Public Service Company,33.417222,-111.928333,NG,GAS,0.626,9.2
Arizona Western College PV,Arizona Public Service Co,Main Street Power,Arizona Public Service Company,32.687778,-114.49611,SUN,SOLAR,0.161,5.7
Arlington Valley Energy Facility,Salt River Project,Arlington Valley LLC,"Arlington Valley, LLC - AVBA",33.3417,-112.8897,NG,GAS,0.181,713
Arlington Valley Solar Energy I,Arizona Nuclear Power Project High Volta,Arlington Valley Solar Energy LLC,Arizona Public Service Company,33.321667,-112.880555,SUN,SOLAR,,127
Arlington Valley Solar Energy II,Arizona Nuclear Power Project High Volta,Arlington Valley Solar Energy II LLC,Arizona Public Service Company,33.305,-112.833888,SUN,SOLAR,0.323,129
Avalon Solar,Tucson Electric Power Co,Avalon Solar,Tucson Electric Power Company,32.001389,-110.960556,SUN,SOLAR,,29
Avra Valley Solar,Tucson Electric Power Co,NRG Solar Avra Valley,Tucson Electric Power Company,32.371667,-111.282777,SUN,SOLAR,0.319,26.5
Badger 1,Arizona Public Service Co,Desert Sky Solar LLC,Arizona Public Service Company,33.493611,-112.779444,SUN,SOLAR,0.309,14.8
Black Mountain Generating Station,"UNS Electric, Inc","UNS Electric, Inc",Tucson Electric Power Company,35.0361,-114.1594,NG,GAS,0.049,121
Black Mountain Solar LLC,"UNS Electric, Inc",Black Mountain Solar LLC,Arizona Public Service Company,35.015556,-114.159722,SUN,SOLAR,0.283,9
Bowie Power Station LLC,Tucson Electric Power Co,Bowie Power Station LLC,Tucson Electric Power Company,32.364181,-109.495877,NG,GAS,,1050
"Buckeye Generation Center, LLC",Arizona Public Service Co,"Cogentrix Development Holdings, LLC",Arizona Public Service Company,33.230833,-112.626389,NG,GAS,,652.2
Buckeye Union HS District 201,Arizona Public Service Co,Constellation Solar Arizona LLC,Arizona Public Service Company,33.419167,-112.576111,SUN,SOLAR,0.256,3.3
Childs,,Arizona Public Service Co,Arizona Public Service Company,34.351111,-111.700556,WAT,HYDRO,,5.4
Chino Solar Valley,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,34.71843,-112.42899,SUN,SOLAR,0.283,19
Cholla,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,34.9394,-110.3033,SUB,COAL,0.671,1128.8
Cogeneration 1,Tucson Electric Power Co,University of Arizona,Tucson Electric Power Company,32.229922,-110.952797,NG,GAS,0.605,9
Cogeneration 2,University of Arizona,University of Arizona,Tucson Electric Power Company,32.240833,-110.948333,NG,GAS,0.598,6.5
Cogenra - TEP,Tucson Electric Power Co,Washington Gas Energy Systems,Tucson Electric Power Company,32.101944,-110.813333,SUN,SOLAR,0.057,1
Coolidge Generating Station,Salt River Project,Coolidge Power LLC,Salt River Project,32.917399,-111.503327,NG,GAS,0.033,726
Copper Crossing Gen Station,Salt River Project,Salt River Project,Salt River Project,33.15512,-111.483636,NG,GAS,,909
Copper Crossing Solar LLC,Salt River Project,Iberdrola Renewables Inc,Salt River Project,33.160601,-111.484011,SUN,SOLAR,0.303,20
Coronado Generating Station,Salt River Project,Salt River Project,Salt River Project,34.5789,-109.2708,SUB,COAL,0.753,821.8
Cotton Center Solar,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,33.034722,-112.661667,SUN,SOLAR,0.293,17
Crosscut,Salt River Project,Salt River Project,Salt River Project,33.439375,-111.946052,,,,33
Davis Dam,WAPA-- Western Area Power Administration,U S Bureau of Reclamation,Western Area Power Administration - Desert Southwest Region,35.197044,-114.570669,WAT,HYDRO,0.521,254.8
Davis Monthan AFB (AZ) West Airfield,Tucson Electric Power Co,"SunE DM, LLC",Tucson Electric Power Company,32.17356,-110.899734,SUN,SOLAR,0.299,12.6
De Moss Petrie Generating Station,Tucson Electric Power Co,Tucson Electric Power Co,Tucson Electric Power Company,32.252273,-110.992148,NG,GAS,0.007,85
Desert Basin Generating Station,Arizona Public Service Co,Salt River Project,Arizona Public Service Company,32.9042,-111.7889,NG,GAS,0.259,646.1
Dolan Springs,Western Area Power Administration - Rock,Iberdrola Renewables Inc,Western Area Power Administration - Desert Southwest Region,35.61,-114.26,WND,WIND,,300
Douglas,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,31.364122,-109.5538,DFO,OIL,0.001,26.1
Dry Lake Solar,Arizona Public Service Co,Iberdrola Renewables Inc,Arizona Public Service Company,34.513333,-110.078333,SUN,SOLAR,,50
Dry Lake Wind II LLC,Arizona Public Service Co,Iberdrola Renewables Inc,Arizona Public Service Company,34.6062,-110.1734,WND,WIND,0.213,65.1
Dry Lake Wind LLC,Salt River Project,Iberdrola Renewables Inc,Salt River Project,34.6596,-110.2842,WND,WIND,0.212,63
FirstEnergy,,Allegheny Energy Supply Co LLC,,33.935833,-113.555,NG,GAS,,1080
Foothills Solar Plant,Arizona Public Service Co,Arizona Public Service Co,Arizona Public Service Company,32.64856,-114.428741,SUN,SOLAR,0.263,35
